group,var1,var2,var3,var4
ArlingtonHeights,624,37,4495,42126
BrewersHill,148,31,2608,56240
Haymarket,38,25,716,19983
KilbournTown,353,97,5227,60161
MenomoneeValley,71,27,2530,45871
Polonia,282,50,5855,59312
Riverwest,1297,110,12002,56240
